X,Y,OBJECTID_1,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,Lat_Dec_De,Long_Dec_D,URL
-1.37520023199994,60.2863088280001,1,Aith,ALB,Shetland Islands,Scotland,Central & Shetland,GBR,Scotland,4,60.28630829,-1.37521398,https://rnli.org/find-my-nearest/lifeboat-stations/aith-lifeboat-station
-2.96031525599994,58.9854046620001,2,Kirkwall,ALB,Orkney Islands,Scotland,Highlands,GBR,Scotland,1,58.98542786,-2.96036506,https://rnli.org/find-my-nearest/lifeboat-stations/kirkwall-lifeboat-station
-1.14021995699994,60.1532866470001,3,Lerwick,ALB,Shetland Islands,Scotland,Central & Shetland,GBR,Scotland,4,60.1532402,-1.14059305,https://rnli.org/find-my-nearest/lifeboat-stations/lerwick-lifeboat-station
-3.20688087899993,58.8005757010001,4,Longhope,ALB,Orkney Islands,Scotland,Highlands,GBR,Scotland,1,58.80057907,-3.20692396,https://rnli.org/find-my-nearest/lifeboat-stations/longhope-lifeboat-station
-3.29768991499998,58.963336945,5,Stromness,ALB,Orkney Islands,Scotland,Highlands,GBR,Scotland,1,58.96333694,-3.29768991,https://rnli.org/find-my-nearest/lifeboat-stations/stromness-lifeboat-station
-2.95271563599994,57.680841383,6,Buckie,ALB,Moray,Scotland,Highlands,GBR,Scotland,3,57.68086624,-2.95271206,https://rnli.org/find-my-nearest/lifeboat-stations/buckie-lifeboat-station
-4.16740722599997,57.6865439530001,7,Invergordon,ALB,Highland,Scotland,Highlands,GBR,Scotland,2,57.68654633,-4.16740704,https://rnli.org/find-my-nearest/lifeboat-stations/invergordon-lifeboat-station
-4.23465378999992,57.5009910700001,8,Kessock,ILB,Highland,Scotland,Highlands,GBR,Scotland,2,57.50094223,-4.2346611,https://rnli.org/find-my-nearest/lifeboat-stations/kessock-lifeboat-station
-4.44443227999994,57.3367449200001,9,Loch Ness,ILB,Highland,Scotland,Highlands,GBR,Scotland,2,57.33672714,-4.44443607,https://rnli.org/find-my-nearest/lifeboat-stations/loch-ness-lifeboat-station
-2.49427239299996,57.6726974050001,10,Macduff,ILB,Aberdeenshire,Scotland,Highlands,GBR,Scotland,3,57.67272568,-2.49433398,https://rnli.org/find-my-nearest/lifeboat-stations/macduff-lifeboat-station
-3.54697976299997,58.6121206660001,11,Thurso,ALB,Highland,Scotland,Highlands,GBR,Scotland,1,58.61207962,-3.54693198,https://rnli.org/find-my-nearest/lifeboat-stations/thurso-lifeboat-station
-3.08295339899996,58.4393365080001,12,Wick,ALB,Highland,Scotland,Highlands,GBR,Scotland,1,58.43935013,-3.08292603,https://rnli.org/find-my-nearest/lifeboat-stations/wick-lifeboat-station
-2.08043070099995,57.1440391240001,13,Aberdeen,ALB/ILB,Aberdeenshire,Scotland,Central & Shetland,GBR,Scotland,3,57.14404678,-2.08042908,https://rnli.org/find-my-nearest/lifeboat-stations/aberdeen-lifeboat-station
-2.58482664699994,56.555266616,14,Arbroath,ALB/ILB,Angus,Scotland,Central & Shetland,GBR,Scotland,4,56.55530167,-2.58483911,https://rnli.org/find-my-nearest/lifeboat-stations/arbroath-lifeboat-station
-2.87739999999997,56.465,15,Broughty Ferry,ALB/ILB,City Of Dundee,Scotland,Central & Shetland,GBR,Scotland,4,56.46497726,-2.87730908,https://rnli.org/find-my-nearest/lifeboat-stations/broughty-ferry-lifeboat-station
